"","Timestamp","Date","Time","Record_ID","Storm_Type","Lat","Lon","Speed","Pressure","Wind_Radii_NE_34","Wind_Radii_SE_34","Wind_Radii_SW_34","Wind_Radii_NW_34","Wind_Radii_NE_50","Wind_Radii_SE_50","Wind_Radii_SW_50","Wind_Radii_NW_50","Wind_Radii_NE_64","Wind_Radii_SE_64","Wind_Radii_SW_64","Wind_Radii_NW_64","Size"
"1",NA,"EP011949","            UNNAMED","      7","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1949-06-11 00:00:00,"19490611"," 0000","  "," TS"," 20.2N"," 106.3W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"3",1949-06-11 06:00:00,"19490611"," 0600","  "," TS"," 20.2N"," 106.4W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"4",1949-06-11 12:00:00,"19490611"," 1200","  "," TS"," 20.2N"," 106.7W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"5",1949-06-11 18:00:00,"19490611"," 1800","  "," TS"," 20.3N"," 107.7W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"6",1949-06-12 00:00:00,"19490612"," 0000","  "," TS"," 20.4N"," 108.6W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"7",1949-06-12 06:00:00,"19490612"," 0600","  "," TS"," 20.5N"," 109.4W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"8",1949-06-12 12:00:00,"19490612"," 1200","  "," TS"," 20.6N"," 110.2W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
"9",NA,"EP021949","            UNNAMED","     25","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1949-06-17 12:00:00,"19490617"," 1200","  "," TS"," 14.1N"," 107.0W",45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA
